Type,Local ID,Message,Field 0,Value 0,Units 0,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11
Definition,0,file_id,type,1,bytes,manufacturer,2,bytes,product,2,bytes,serial_number,4,bytes,time_created,4,bytes
Data,0,file_id,type,4,,manufacturer,255,,product,1,,serial_number,1,,time_created,1746530367000,ms
Definition,0,device_info,timestamp,4,bytes,device_index,1,bytes,manufacturer,2,bytes,serial_number,4,bytes,product,2,bytes,software_version,2,bytes,product_name,24,bytes
Data,0,device_info,timestamp,1746530367000,ms,device_index,0,,manufacturer,255,,serial_number,1,,product,1,,software_version,1.0,,product_name,Ties Huawei Strava Sync,
Definition,0,length,message_index,2,bytes,timestamp,4,bytes,event,1,bytes,event_type,1,bytes,start_time,4,bytes,total_elapsed_time,4,bytes,total_timer_time,4,bytes,total_strokes,2,bytes,avg_speed,2,bytes,swim_stroke,1,bytes,event_group,1,bytes,length_type,1,bytes
Data,0,length,message_index,0,,timestamp,1746530367000,ms,event,28,,event_type,1,,start_time,1746530367000,ms,total_elapsed_time,33.0,s,total_timer_time,33.0,s,total_strokes,12,strokes,avg_speed,0.758,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,1,,timestamp,1746530367000,ms,event,28,,event_type,1,,start_time,1746530400000,ms,total_elapsed_time,28.0,s,total_timer_time,28.0,s,total_strokes,10,strokes,avg_speed,0.893,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,2,,timestamp,1746530367000,ms,event,28,,event_type,1,,start_time,1746530428000,ms,total_elapsed_time,26.0,s,total_timer_time,26.0,s,total_strokes,9,strokes,avg_speed,0.962,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,3,,timestamp,1746530367000,ms,event,28,,event_type,1,,start_time,1746530454000,ms,total_elapsed_time,28.0,s,total_timer_time,28.0,s,total_strokes,10,strokes,avg_speed,0.893,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
Data,0,length,message_index,4,,timestamp,1746530367000,ms,event,28,,event_type,1,,start_time,1746530482000,ms,total_elapsed_time,28.0,s,total_timer_time,28.0,s,total_strokes,11,strokes,avg_speed,0.893,m/s,swim_stroke,0,swim_stroke,event_group,255,,length_type,1,
